"type","time","moi_type","moi_res","moi_wt","init_wt","init_mut","c_pop","v_prog","p2pfu","wt_rep_abil","time_to_pocap","bg_mut_rate","uninf_cells","surv_pfu","tot_pfu","pop_prop","imm_delay","imm_m","imm_sd","id","seed","fold_strin"
"susceptible",15,4.7243408505491,78.8333782457462,4.7243408505491,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,1,174994,"3095056","0.0565398493597531",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"resistant",16,68.987406352089,68.987406352089,4.04031383173496,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,1,2555358,"2705015","0.944674243950588",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"susceptible",16,4.04031383173496,68.987406352089,4.04031383173496,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,1,149657,"2705015","0.0553257560494119",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"resistant",17,60.3533099309639,60.3533099309639,3.43271577018737,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,1,2235543,"2362694","0.946183890084793",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"susceptible",17,3.43271577018737,60.3533099309639,3.43271577018737,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,1,127151,"2362694","0.053816109915207",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"resistant",18,52.9235297778374,52.9235297778374,2.90643315169414,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,1,1960337,"2067994","0.947941338321098",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"susceptible",18,2.90643315169414,52.9235297778374,2.90643315169414,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,1,107657,"2067994","0.0520586616789024",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"resistant",19,46.397236549431,46.397236549431,2.4532588399045,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,1,1718597,"1809468","0.949780266907179",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"susceptible",19,2.4532588399045,46.397236549431,2.4532588399045,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,1,90871,"1809468","0.0502197330928206",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"resistant",20,40.7071533253958,40.7071533253958,2.051838082011,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,1,1507831,"1583833","0.952013880251264",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"susceptible",20,2.051838082011,40.7071533253958,2.051838082011,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,1,76002,"1583833","0.0479861197487361",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"resistant",21,35.7545514950908,35.7545514950908,1.71712730412657,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,1,1324382,"1387986","0.954175330298721",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"susceptible",21,1.71712730412657,35.7545514950908,1.71712730412657,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,1,63604,"1387986","0.0458246697012794",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
"resistant",22,31.4047422320228,31.4047422320228,1.42204835572547,1,0,37040.9344998172,203.17081752289,1,0.00465842377578656,"3",50000,1,1163261,"1215935","0.956680250177847",9.3725661950089,-1.42421792769631,0.45971955810273,"31","793007",10
