"type","time","moi_type","moi_res","moi_wt","init_wt","init_mut","c_pop","v_prog","p2pfu","wt_rep_abil","time_to_pocap","bg_mut_rate","uninf_cells","surv_pfu","tot_pfu","pop_prop","imm_delay","imm_m","imm_sd","id","seed","dom_val"
"resistant",6,195.974078354741,195.974078354741,7.13246044052436,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,7259063,"7523256","0.964883156973523",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
"susceptible",6,7.13246044052436,195.974078354741,7.13246044052436,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,264193,"7523256","0.0351168430264768",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
"resistant",7,196.063897902896,196.063897902896,7.13224446325197,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,7262390,"7526575","0.96489970537728",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
"susceptible",7,7.13224446325197,196.063897902896,7.13224446325197,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,264185,"7526575","0.0351002946227202",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
"resistant",8,196.033310121693,196.033310121693,7.13802185528837,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,7261257,"7525656","0.96486698302447",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
"susceptible",8,7.13802185528837,196.033310121693,7.13802185528837,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,264399,"7525656","0.0351330169755301",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
"resistant",9,195.948701025235,195.948701025235,7.13556511381494,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,7258123,"7522431","0.964864018028215",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
"susceptible",9,7.13556511381494,195.948701025235,7.13556511381494,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,264308,"7522431","0.0351359819717854",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
"resistant",10,153.639860247805,153.639860247805,5.60482619575984,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,5690964,"5898572","0.96480368468843",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
"susceptible",10,5.60482619575984,153.639860247805,5.60482619575984,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,207608,"5898572","0.0351963153115703",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
"resistant",11,104.235815109337,104.235815109337,3.80878619573424,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,3860992,"4002073","0.964748019338978",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
"susceptible",11,3.80878619573424,104.235815109337,3.80878619573424,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,141081,"4002073","0.0352519806610224",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
"resistant",12,70.5888508296923,70.5888508296923,2.56769979711147,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,2614677,"2709787","0.964901300360508",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
"susceptible",12,2.56769979711147,70.5888508296923,2.56769979711147,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"3",50000,1,95110,"2709787","0.035098699639492",9.3725661950089,-1.42421792769631,0.45971955810273,"1","720904",0
