"","type","time","moi_type","moi_res","moi_wt","init_wt","init_mut","c_pop","subunits","v_prog","p2pfu","bg_mut_rate","wt_rep_abil","uninf_cells","surv_pfu","tot_pfu","pop_prop","check_sums"
"91","resistant",1,1.35248507238337e-07,1.35248507238337e-07,0.00676229011340962,0.0741310241300917,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,0.392220670991178,"19611.0335495589","2e-05",0.999999999999979
"92","susceptible",1,0.00676229011340962,1.35248507238337e-07,0.00676229011340962,0.0741310241300917,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,19610.6413288879,"19611.0335495589","0.99998",0.999999999999979
"93","resistant",0,0.00741310241300917,0.00741310241300917,0.0667179217170826,0.0667179217170826,0.00741310241300917,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,21497.9969977266,"214979.969977266","0.1",0.999999999999979
"94","susceptible",0,0.0667179217170826,0.00741310241300917,0.0667179217170826,0.0667179217170826,0.00741310241300917,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,193481.972979539,"214979.969977266","0.9",0.999999999999979
"95","resistant",1,1.41511325967078,1.41511325967078,0.0175971779897119,0.0667179217170826,0.00741310241300917,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,4103828.45304525,"4154860.26921542","0.987717561394718",0.999999999999979
"96","susceptible",1,0.0175971779897119,1.41511325967078,0.0175971779897119,0.0667179217170826,0.00741310241300917,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,51031.8161701646,"4154860.26921542","0.0122824386052822",0.999999999999979
"97","resistant",0,0.0148262048260183,0.0148262048260183,0.0593048193040734,0.0593048193040734,0.0148262048260183,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,42995.9939954532,"214979.969977266","0.2",0.999999999999979
"98","susceptible",0,0.0593048193040734,0.0148262048260183,0.0593048193040734,0.0593048193040734,0.0148262048260183,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,171983.975981813,"214979.969977266","0.8",0.999999999999979
"99","resistant",1,2.8382854495081,2.8382854495081,0.0259214478680778,0.0593048193040734,0.0148262048260183,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,8231027.8035735,"8306200.00239093","0.990949868917702",0.999999999999979
"100","susceptible",1,0.0259214478680778,2.8382854495081,0.0259214478680778,0.0593048193040734,0.0148262048260183,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,75172.1988174257,"8306200.00239093","0.00905013108229847",0.999999999999979
"101","resistant",0,0.0222393072390275,0.0222393072390275,0.0518917168910642,0.0518917168910642,0.0222393072390275,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,64493.9909931798,"214979.969977266","0.3",0.999999999999979
"102","susceptible",0,0.0518917168910642,0.0222393072390275,0.0518917168910642,0.0518917168910642,0.0222393072390275,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,150485.978984086,"214979.969977266","0.7",0.999999999999979
"103","resistant",1,4.26953731676483,4.26953731676483,0.0317197974142038,0.0518917168910642,0.0222393072390275,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,12381658.218618,"12473645.6311192","0.992625458889765",0.999999999999979
"104","susceptible",1,0.0317197974142038,4.26953731676483,0.0317197974142038,0.0518917168910642,0.0222393072390275,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,91987.412501191,"12473645.6311192","0.00737454111023494",0.999999999999979
"105","resistant",0,0.0296524096520367,0.0296524096520367,0.044478614478055,0.044478614478055,0.0296524096520367,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,85991.9879909064,"214979.969977266","0.4",0.999999999999979
"106","susceptible",0,0.044478614478055,0.0296524096520367,0.044478614478055,0.044478614478055,0.0296524096520367,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,128987.98198636,"214979.969977266","0.6",0.999999999999979
"107","resistant",1,5.70888947114138,5.70888947114138,0.0349768921165557,0.044478614478055,0.0296524096520367,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,16555779.46631,"16657212.453448","0.993910566523571",0.999999999999979
"108","susceptible",1,0.0349768921165557,5.70888947114138,0.0349768921165557,0.044478614478055,0.0296524096520367,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,101432.987138012,"16657212.453448","0.00608943347642871",0.999999999999979
"109","resistant",0,0.0370655120650459,0.0370655120650459,0.0370655120650459,0.0370655120650459,0.0370655120650459,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,107489.984988633,"214979.969977266","0.5",0.999999999999979
"110","susceptible",0,0.0370655120650459,0.0370655120650459,0.0370655120650459,0.0370655120650459,0.0370655120650459,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,107489.984988633,"214979.969977266","0.5",0.999999999999979
"111","resistant",1,7.15636251985927,7.15636251985927,0.0356773653234425,0.0370655120650459,0.0370655120650459,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,20753451.3075919,"20856915.6670299","0.995039325991928",0.999999999999979
"112","susceptible",1,0.0356773653234425,7.15636251985927,0.0356773653234425,0.0370655120650459,0.0370655120650459,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,103464.359437983,"20856915.6670299","0.00496067400807194",0.999999999999979
"113","resistant",0,0.044478614478055,0.044478614478055,0.0296524096520367,0.0296524096520367,0.044478614478055,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,128987.98198636,"214979.969977266","0.6",0.999999999999979
"114","susceptible",0,0.0296524096520367,0.044478614478055,0.0296524096520367,0.0296524096520367,0.044478614478055,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,85991.9879909064,"214979.969977266","0.4",0.999999999999979
"115","resistant",1,8.61197706748558,8.61197706748558,0.033805818280443,0.0296524096520367,0.044478614478055,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,24974733.4957082,"25072770.3687215","0.996089906636899",0.999999999999979
"116","susceptible",1,0.033805818280443,8.61197706748558,0.033805818280443,0.0296524096520367,0.044478614478055,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,98036.8730132846,"25072770.3687215","0.00391009336310066",0.999999999999979
"117","resistant",0,0.0518917168910642,0.0518917168910642,0.0222393072390275,0.0222393072390275,0.0518917168910642,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2692795.03347621,150485.978984086,"214979.969977266","0.7",0.999999999999979
