"","type","time","moi_type","moi_res","moi_wt","init_wt","init_mut","c_pop","v_prog","p2pfu","wt_rep_abil","time_to_pocap","bg_mut_rate","uninf_cells","surv_pfu","tot_pfu","pop_prop","imm_delay","imm_m","imm_sd","id","seed","treatment"
"2011","resistant",0.333333333333333,0.00251073579151895,0.00251073579151895,128.316282085795,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,13662,93,"4753048","1.95663919236667e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2012","susceptible",0.333333333333333,128.316282085795,0.00251073579151895,128.316282085795,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,13662,4752955,"4753048","0.999980433608076",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2013","resistant",0.666666666666667,0.00863909089554906,0.00863909089554906,203.149923229856,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,320,"7525183","4.25238828078998e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2014","susceptible",0.666666666666667,203.149923229856,0.00863909089554906,203.149923229856,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,7524863,"7525183","0.999957476117192",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2015","resistant",1,0.0120677300947201,0.0120677300947201,203.053786346484,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,447,"7521749","5.94276676873956e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2016","susceptible",1,203.053786346484,0.0120677300947201,203.053786346484,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,7521302,"7521749","0.999940572332313",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2017","resistant",1.33333333333333,0.014848437476725,0.014848437476725,203.220169837701,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,550,"7528015","7.30604282802306e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2018","susceptible",1.33333333333333,203.220169837701,0.014848437476725,203.220169837701,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,7527465,"7528015","0.99992693957172",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2019","resistant",1.66666666666667,0.0196809289464227,0.0196809289464227,203.213042587712,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,729,"7527930","9.68393701854295e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
"2020","susceptible",1.66666666666667,203.213042587712,0.0196809289464227,203.213042587712,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,7527201,"7527930","0.999903160629815",9.3725661950089,-1.42421792769631,0.45971955810273,"26","52","Simulated Pocapavir"
