"","type","time","moi_type","moi_res","moi_wt","init_wt","init_mut","c_pop","v_prog","p2pfu","wt_rep_abil","time_to_pocap","bg_mut_rate","uninf_cells","surv_pfu","tot_pfu","pop_prop","imm_delay","imm_m","imm_sd","id","seed","nu"
"16535","resistant",0,0,0,10,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,1005,0,226017682.82,0,9,-1.6,0.5,43,632,452.03536564
"16536","susceptible",0,10,0,10,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,1005,226017682.82,226017682.82,1,9,-1.6,0.5,43,632,452.03536564
"16537","resistant",1,2.03523898776691e-06,2.03523898776691e-06,0.0945923776106785,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,1005,46,2138001,2.15154249226263e-05,9,-1.6,0.5,43,632,452.03536564
"16538","susceptible",1,0.0945923776106785,2.03523898776691e-06,0.0945923776106785,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,1005,2137955,2138001,0.999978484575077,9,-1.6,0.5,43,632,452.03536564
"16539","resistant",2,0.000428462051250756,0.000428462051250756,0.00854517211176849,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,20562024,9684,202820,0.0477467705354502,9,-1.6,0.5,43,632,452.03536564
"16540","susceptible",2,0.00854517211176849,0.000428462051250756,0.00854517211176849,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,20562024,193136,202820,0.95225322946455,9,-1.6,0.5,43,632,452.03536564
"16541","resistant",3,0.0866194173647533,0.0866194173647533,0.000896345796808041,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,22400666,1957752,1978011,0.989757893156307,9,-1.6,0.5,43,632,452.03536564
"16542","susceptible",3,0.000896345796808041,0.0866194173647533,0.000896345796808041,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,22400666,20259,1978011,0.010242106843693,9,-1.6,0.5,43,632,452.03536564
"16543","resistant",4,16.8315869914908,16.8315869914908,0.00222854244727895,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,20708705,380423629,380473998,0.999867615132007,9,-1.6,0.5,43,632,452.03536564
"16544","susceptible",4,0.00222854244727895,16.8315869914908,0.00222854244727895,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,20708705,50369,380473998,0.000132384867993003,9,-1.6,0.5,43,632,452.03536564
"16545","resistant",5,203.012844028413,203.012844028413,0.0276102290853492,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,4588449259,4589073299,0.999864016118432,9,-1.6,0.5,43,632,452.03536564
"16546","susceptible",5,0.0276102290853492,203.012844028413,0.0276102290853492,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,624040,4589073299,0.000135983881568417,9,-1.6,0.5,43,632,452.03536564
"16547","resistant",6,202.998792915419,202.998792915419,0.0313991804156839,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,4588131679,4588841356,0.999845347235839,9,-1.6,0.5,43,632,452.03536564
"16548","susceptible",6,0.0313991804156839,202.998792915419,0.0313991804156839,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,709677,4588841356,0.000154652764160627,9,-1.6,0.5,43,632,452.03536564
"16549","resistant",7,202.994999805122,202.994999805122,0.0350292946163211,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,4588045948,4588837672,0.9998274674206,9,-1.6,0.5,43,632,452.03536564
"16550","susceptible",7,0.0350292946163211,202.994999805122,0.0350292946163211,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,791724,4588837672,0.000172532579400425,9,-1.6,0.5,43,632,452.03536564
"16551","resistant",8,202.977784160968,202.977784160968,0.038734889636809,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,4587656844,4588532321,0.999809203261794,9,-1.6,0.5,43,632,452.03536564
"16552","susceptible",8,0.038734889636809,202.977784160968,0.038734889636809,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,875477,4588532321,0.000190796738206086,9,-1.6,0.5,43,632,452.03536564
"16553","resistant",0,0,0,10,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,1026,0,226017682.82,0,9,-1.6,0.5,44,4736,452.03536564
"16554","susceptible",0,10,0,10,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,1026,226017682.82,226017682.82,1,9,-1.6,0.5,44,4736,452.03536564
"16555","resistant",1,2.61041522344017e-06,2.61041522344017e-06,0.094618216296958,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,1026,59,2138598,2.75881675752058e-05,9,-1.6,0.5,44,4736,452.03536564
"16556","susceptible",1,0.094618216296958,2.61041522344017e-06,0.094618216296958,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,1026,2138539,2138598,0.999972411832425,9,-1.6,0.5,44,4736,452.03536564
"16557","resistant",2,0.000498810529306178,0.000498810529306178,0.0085353056271104,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,20561041,11274,204187,0.0552140929638028,9,-1.6,0.5,44,4736,452.03536564
"16558","susceptible",2,0.0085353056271104,0.000498810529306178,0.0085353056271104,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,20561041,192913,204187,0.944785907036197,9,-1.6,0.5,44,4736,452.03536564
"16559","resistant",3,0.0999331101805338,0.0999331101805338,0.00091753882887631,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,22398604,2258665,2279403,0.990902003726414,9,-1.6,0.5,44,4736,452.03536564
"16560","susceptible",3,0.00091753882887631,0.0999331101805338,0.00091753882887631,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,22398604,20738,2279403,0.00909799627358567,9,-1.6,0.5,44,4736,452.03536564
"16561","resistant",4,19.2955334095394,19.2955334095394,0.00261355657057346,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,20433891,436113175,436172246,0.999864569558147,9,-1.6,0.5,44,4736,452.03536564
"16562","susceptible",4,0.00261355657057346,19.2955334095394,0.00261355657057346,10,0,22601768.282,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,20433891,59071,436172246,0.000135430441853469,9,-1.6,0.5,44,4736,452.03536564
