"","nu","n_u","total_rows","zero_count","proportion_zero"
"1820",0.10481131,0.10481131,217,40,0.184331797235023
"1821",0.10481131,0.10481131,217,40,0.184331797235023
"1822",0.10481131,0.10481131,217,40,0.184331797235023
"1823",0.10481131,0.10481131,217,40,0.184331797235023
"1824",0.10481131,0.10481131,217,40,0.184331797235023
"1825",0.10481131,0.10481131,217,40,0.184331797235023
"1826",0.10481131,0.10481131,217,40,0.184331797235023
"1827",0.10481131,0.10481131,217,40,0.184331797235023
"1828",0.10481131,0.10481131,217,40,0.184331797235023
"1829",0.10481131,0.10481131,217,40,0.184331797235023
"1830",0.10481131,0.10481131,217,40,0.184331797235023
"1831",0.10481131,0.10481131,217,40,0.184331797235023
"1832",0.10481131,0.10481131,217,40,0.184331797235023
"1833",0.10481131,0.10481131,217,40,0.184331797235023
"1834",0.10481131,0.10481131,217,40,0.184331797235023
"1835",0.10481131,0.10481131,217,40,0.184331797235023
"1836",0.10481131,0.10481131,217,40,0.184331797235023
"1837",0.10481131,0.10481131,217,40,0.184331797235023
"1838",0.10481131,0.10481131,217,40,0.184331797235023
"1839",0.10481131,0.10481131,217,40,0.184331797235023
"1840",0.10481131,0.10481131,217,40,0.184331797235023
"1841",0.10481131,0.10481131,217,40,0.184331797235023
"1842",0.10481131,0.10481131,217,40,0.184331797235023
"1843",0.10481131,0.10481131,217,40,0.184331797235023
"1844",0.10481131,0.10481131,217,40,0.184331797235023
"1845",0.10481131,0.10481131,217,40,0.184331797235023
"1846",0.10481131,0.10481131,217,40,0.184331797235023
"1847",0.10481131,0.10481131,217,40,0.184331797235023
"1848",0.10481131,0.10481131,217,40,0.184331797235023
"1849",0.10481131,0.10481131,217,40,0.184331797235023
"1850",0.10481131,0.10481131,217,40,0.184331797235023
"1851",0.10481131,0.10481131,217,40,0.184331797235023
"1852",0.10481131,0.10481131,217,40,0.184331797235023
"1853",0.10481131,0.10481131,217,40,0.184331797235023
"1854",0.10481131,0.10481131,217,40,0.184331797235023
"1855",0.10481131,0.10481131,217,40,0.184331797235023
"1856",0.10481131,0.10481131,217,40,0.184331797235023
"1857",0.10481131,0.10481131,217,40,0.184331797235023
"1858",0.10481131,0.10481131,217,40,0.184331797235023
"1859",0.10481131,0.10481131,217,40,0.184331797235023
"1860",0.10481131,0.10481131,217,40,0.184331797235023
"1861",0.10481131,0.10481131,217,40,0.184331797235023
"1862",0.10481131,0.10481131,217,40,0.184331797235023
"1863",0.10481131,0.10481131,217,40,0.184331797235023
"1864",0.10481131,0.10481131,217,40,0.184331797235023
"1865",0.10481131,0.10481131,217,40,0.184331797235023
"1866",0.10481131,0.10481131,217,40,0.184331797235023
"1867",0.10481131,0.10481131,217,40,0.184331797235023
"1868",0.10481131,0.10481131,217,40,0.184331797235023
"1869",0.10481131,0.10481131,217,40,0.184331797235023
"1870",0.10481131,0.10481131,217,40,0.184331797235023
"1871",0.10481131,0.10481131,217,40,0.184331797235023
"1872",0.10481131,0.10481131,217,40,0.184331797235023
"1873",0.10481131,0.10481131,217,40,0.184331797235023
"1874",0.10481131,0.10481131,217,40,0.184331797235023
"1875",0.10481131,0.10481131,217,40,0.184331797235023
