"","type","time","moi_type","moi_res","moi_wt","init_wt","init_mut","c_pop","v_prog","p2pfu","wt_rep_abil","time_to_pocap","bg_mut_rate","uninf_cells","surv_pfu","tot_pfu","pop_prop","imm_delay","imm_m","imm_sd","id","seed","treatment"
"6787","resistant",3,0.100215536600721,0.100215536600721,9.65059773111334,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,0,1012,"98466","0.0102776592935633",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
"6788","susceptible",3,9.65059773111334,0.100215536600721,9.65059773111334,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,0,97454,"98466","0.989722340706437",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
"6789","resistant",3.33333333333333,0.119822924196515,0.119822924196515,7.44021137492293,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,2,1210,"76343","0.0158495212396683",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
"6790","susceptible",3.33333333333333,7.44021137492293,0.119822924196515,7.44021137492293,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,2,75133,"76343","0.984150478760332",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
"6791","resistant",3.66666666666667,0.157849372867144,0.157849372867144,5.15773320979444,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,1,1594,"53678","0.0296955922351801",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
"6792","susceptible",3.66666666666667,5.15773320979444,0.157849372867144,5.15773320979444,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,1,52084,"53678","0.97030440776482",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
"6793","resistant",4,0.338970140103033,0.338970140103033,3.64657798397724,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,49,3423,"40247","0.0850498173776928",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
"6794","susceptible",4,3.64657798397724,0.338970140103033,3.64657798397724,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,49,36824,"40247","0.914950182622307",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
"6795","resistant",4.33333333333333,0.977794672327592,0.977794672327592,2.8637678882967,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,200,9874,"38793","0.254530456525662",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
"6796","susceptible",4.33333333333333,2.8637678882967,0.977794672327592,2.8637678882967,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,200,28919,"38793","0.745469543474338",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
"6797","resistant",4.66666666666667,2.80722335134116,2.80722335134116,2.69354011416959,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,220,28348,"55548","0.510333405343127",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
"6798","susceptible",4.66666666666667,2.69354011416959,2.80722335134116,2.69354011416959,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,220,27200,"55548","0.489666594656873",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
"6799","resistant",5,5.23408318876594,5.23408318876594,2.57569773417467,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,38,52855,"78865","0.670195904393584",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
"6800","susceptible",5,2.57569773417467,5.23408318876594,2.57569773417467,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,38,26010,"78865","0.329804095606416",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
"6801","resistant",5.33333333333333,5.83369294579891,5.83369294579891,1.8894391683219,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,5,58910,"77990","0.75535325041672",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
"6802","susceptible",5.33333333333333,1.8894391683219,5.83369294579891,1.8894391683219,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"3",10000,5,19080,"77990","0.24464674958328",9.29889379382767,-1.37736165630994,0.483187605893751,"81","162","Simulated 100x Less Stringent"
